Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,2,ATMEGA328P-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP,,2,0,2.13000,4.26,
2,2,478-8926-1-ND,CAP TANT 0.1UF 35V 10% 0805,,2,0,0.80000,1.60,
3,2,478-8115-1-ND,CAP TANT 10UF 6.3V 20% 0805,,2,0,0.37000,0.74,
4,5,478-8126-1-ND,CAP TANT 1UF 16V 20% 0805,,5,0,0.39000,1.95,
5,2,160-1423-1-ND,LED GREEN CLEAR 0805 SMD,,2,0,0.29000,0.58,
6,2,HS380-ND,HEATSINK TO-220 POWER W/PINS BK,,2,0,1.54000,3.08,
7,2,277-1721-ND,CONN TERM BLOCK T/H 2POS 3.5MM,,2,0,0.46000,0.92,
8,10,S1012EC-40-ND,CONN HEADER .100" SNGL STR 40POS,,10,0,0.45400,4.54,
9,2,S7014-ND,CONN HEADER FEMALE 16POS.1" TIN,,2,0,0.98000,1.96,
10,3,IRFZ44NPBF-ND,MOSFET N-CH 55V 49A TO-220AB,,3,0,1.11000,3.33,
11,3,CRE2512-FZ-R005E-3CT-ND,RES 0.005 OHM 1% 3W 2512,,3,0,0.65000,1.95,
12,10,RNCP1206FTD1K00CT-ND,RES 1K OHM 1% 1/2W 1206,,10,0,0.05200,0.52,
13,10,311-10.0KFRCT-ND,RES SMD 10K OHM 1% 1/4W 1206,,10,0,0.03300,0.33,
14,10,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
15,10,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,,10,0,0.02200,0.22,
16,1,3296W-1-103RLFCT-ND,TRIMMER 10K OHM 0.5W PC PIN,,1,0,4.12000,4.12,
17,2,CKN10361CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,,2,0,0.53000,1.06,
18,2,296-46096-1-ND,IC MONITOR PWR/CUR BIDIR 8VSSOP,,2,0,2.65000,5.30,
19,2,490-1198-1-ND,CER RES 16.0000MHZ 15PF SMD,,2,0,0.50000,1.00,
